Sites Name,Region,District,Site Status,Escom,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
Area 21,Lilongwe,Lilongwe,Grid,Prepaid,600,352,287,600,39,192,212,20,2, -   , -   , -   , -   
Area 23,Lilongwe,Lilongwe,Grid,Postpaid,500,300, -   ,300, -   ,12559,12559, -   ,#DIV/0!, -   , -   , -   , -   
Area 23 Extension,Lilongwe,Lilongwe,Grid,Prepaid,1000,200,500,690,10,4981,4985,4,2.5, -   , -   , -   , -   
Biwi Township,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,187,784,23,2499,2507,8,2.9, -   , -   , -   , -   
Mbwatalika,Lilongwe,Lilongwe,Grid,Prepaid,600,319, -   ,300,19,18686,18713,27,0.7, -   , -   , -   , -   
Chinsapo T/C,Lilongwe,Lilongwe,Grid,Prepaid,600,500,538,988,50,3262,3282,20,2.5, -   , -   , -   , -   
Chisoso,Lilongwe,Lilongwe,Grid,Postpaid,1000,180,810,900,90,2178,2273,95,0.9, -   , -   , -   , -   
Chitipi,Lilongwe,Lilongwe,Grid,Prepaid,600,450, -   ,430,20,12742,12750,8,2.5, -   , -   , -   , -   
Gologota,Lilongwe,Lilongwe,Grid,Prepaid,600,300,276,500,76,1234,1274,40,1.9, -   , -   , -   , -   
Kabudula,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,660,1000,410,19652,19779,127,3.2, -   , -   , -   , -   
Kamuzu Barracks,Lilongwe,Lilongwe,Grid,Prepaid,600,736, -   ,736, -   ,2309,2309, -   ,#DIV/0!, -   , -   , -   , -   
Kawale,Lilongwe,Lilongwe,Grid,Prepaid,500,500, -   ,483,17,3626,3631,5,3.4, -   , -   , -   , -   
Likuni MTL,Lilongwe,Lilongwe,Grid,Prepaid,100,400, -   ,400, -   ,29373,29373, -   ,#DIV/0!, -   , -   , -   , -   
Chakhaza,Lilongwe,Lilongwe,Grid,Prepaid,1000,560,720,1000,280,2657,2802,145,1.9, -   , -   , -   , -   
Area 23 Midlands,Lilongwe,Lilongwe,Grid,Prepaid,600,600,538,600,538,22196,22397,201,2.7, -   , -   , -   , -   
Mphepo,Lilongwe,Kasungu,Grid,Prepaid,1000,620,545,1000,165,2031,2104,73,2.3, -   , -   , -   , -   
Njewa,Lilongwe,Lilongwe,Grid,Prepaid,600,315,420,620,115,6932,6976,44,2.6, -   , -   , -   , -   
NRC,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,580,930,400,7179,7297,118,3.4, -   , -   , -   , -   
Nsalu,Lilongwe,Lilongwe,Grid,Prepaid,1000,800,309,1000,109,12954,13016,62,1.8, -   , -   , -   , -   
Nsundwe,Lilongwe,Lilongwe,Grid,Prepaid,500,500, -   ,460,40,17588,17615,27,1.5, -   , -   , -   , -   
Sports Complex,Lilongwe,Lilongwe,Grid,Prepaid,60,60, -   ,40,20,3885,3885, -   ,#DIV/0!, -   , -   , -   , -   
State Residences,Lilongwe,Lilongwe,Grid,Prepaid,600,300, -   ,300, -   ,14468,14468, -   ,#DIV/0!, -   , -   , -   , -   
ARET,Lilongwe,Lilongwe,Grid,Prepaid,100,100,448,100,448,30109,30252,143,3.1, -   , -   , -   , -   
AOG,Lilongwe,Lilongwe,Grid,Prepaid,100,100,234,70,264,3335,3444,109,2.4, -   , -   , -   , -   
LL Office,Lilongwe,Lilongwe,Grid,Prepaid,200,80,224,174,130,5524,5540,16,8.1, -   , -   , -   , -   
Technical centre 1,Lilongwe,Lilongwe,Grid,Prepaid,1000,800,333,1000,133,634,648,14,9.5, -   , -   , -   , -   
Technical centre 2 ,Lilongwe,Lilongwe,Grid,Prepaid,500,420,777,400,797,1926,1936,10,79.7, -   , -   , -   , -   
Area 25 Nsungwi,Lilongwe,Lilongwe,Grid,Prepaid,600,300,219,500,19,508,517,9,2.1, -   , -   , -   , -   
Mgona,Lilongwe,Lilongwe,Off Grid,Prepaid,600,522, -   ,510,12,12974,12977,3,4, -   , -   , -   , -   
Area 49 Dubai,Lilongwe,Lilongwe,Grid,Prepaid,1000,580, -   ,250,330,7660,7733,73,4.5, -   , -   , -   , -   
Dzenza,Lilongwe,Lilongwe,Grid,Prepaid,500,150,384,500,34,14123,14131,8,4.3, -   , -   , -   , -   
Area 48,Lilongwe,Lilongwe,Grid,Prepaid,600,491,496,600,387,16145,16291,146,2.7, -   , -   , -   , -   
AREA 4,Lilongwe,Lilongwe,Grid,Prepaid,600,400,630,880,150,2689,2739,50,3, -   , -   , -   , -   
Mtandile,Lilongwe,Lilongwe,Grid,Prepaid,600,80, -   ,16,64,26555,26750,195,0.3, -   , -   , -   , -   
Area 43 Extension,Lilongwe,Lilongwe,Grid,Prepaid,600,580, -   ,460,120,2783,2789,6,20, -   , -   , -   , -   
Chiwamba,Lilongwe,Lilongwe,Grid,Prepaid,600,311,200,424,87,10995,11030,35,2.5, -   , -   , -   , -   
Area 43 Africa House,Lilongwe,Lilongwe,Grid,Prepaid,600,200,56,256, -   ,15933,15935,2,0, -   , -   , -   , -   
Lisandwa,Lilongwe,Kasungu,Grid,Prepaid,1000,845,630,780,695,1471,1658,187,3.7, -   , -   , -   , -   
Area 30 Railways,Lilongwe,Lilongwe,Grid,Prepaid,1000,353,118,218,253,2385,2511,126,2, -   , -   , -   , -   
Area 25 C,Lilongwe,Lilongwe,Grid,Prepaid,1000,560, -   ,560, -   ,4178,4178, -   ,#DIV/0!, -   , -   , -   , -   
Kanengo Proper,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,600, -   ,3785,3785, -   ,#DIV/0!, -   , -   , -   , -   
Silos,Lilongwe,Lilongwe,Grid,Prepaid,60,60,40,60,40,857,886,29,1.4, -   , -   , -   , -   
KIA,Lilongwe,Lilongwe,Grid,Prepaid,500,100, -   ,100, -   ,8684,8684, -   ,#DIV/0!, -   , -   , -   , -   
Kanengo MBC,Lilongwe,Lilongwe,Grid,Prepaid,500,340, -   ,230,110,3738,3834,96,1.1, -   , -   , -   , -   
Nambuma,Lilongwe,Lilongwe,Grid,Prepaid,1000,500, -   ,450,50,22678,22707,29,1.7, -   , -   , -   , -   
Dangalilo,Lilongwe,Dowa,Grid,Prepaid,600,600,200,600,200,18343,18463,120,1.7, -   , -   , -   , -   
Lumbadzi,Lilongwe,Lilongwe,Grid,Prepaid,500,390, -   ,390, -   ,1089,1089, -   ,#DIV/0!, -   , -   , -   , -   
Area 50,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,579,21,4297,4304,7,3, -   , -   , -   , -   
Kayembe,Lilongwe,Dowa,Grid,Prepaid,600,600, -   ,550,50,16491,16524,33,1.5, -   , -   , -   , -   
Airport Road,Lilongwe,Lilongwe,Off Grid,Prepaid,600,366, -   ,366, -   ,23972,23972, -   ,#DIV/0!, -   , -   , -   , -   
Area 49 Gulliver stadium,Lilongwe,Lilongwe,Grid,Prepaid,1000,750, -   ,732,18,4281,4293,12,1.5, -   , -   , -   , -   
Area 43 TBS,Lilongwe,Lilongwe,Grid,Prepaid,500,500, -   ,446,54,12212,12224,12,4.5, -   , -   , -   , -   
Chiwuzira,Lilongwe,Lilongwe,Grid,Prepaid,1000,100,832,540,392,414,585,171,2.3, -   , -   , -   , -   
Capital Hill,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,489,111,1231,1257,26,4.3, -   , -   , -   , -   
Area 11,Lilongwe,Lilongwe,Grid,Prepaid,600,300,312,600,12,6154,6164,10,1.2, -   , -   , -   , -   
Area 12 Villa,Lilongwe,Lilongwe,Grid,Prepaid,100,88,21,100,9,7590,7594,4,2.3, -   , -   , -   , -   
Area 12 PTC,Lilongwe,Lilongwe,Grid,Prepaid,500,438, -   ,433,5,4117,4119,2,2.5, -   , -   , -   , -   
Area 12 Zikomo,Lilongwe,Lilongwe,Grid,Prepaid,600,492, -   ,480,12,13202,13203,1,12, -   , -   , -   , -   
Area 18 B,Lilongwe,Lilongwe,Grid,Prepaid,1000,300, -   ,296,4,6186,6188,2,2, -   , -   , -   , -   
Area 18 Senti,Lilongwe,Lilongwe,Grid,Prepaid,1000,430, -   ,360,70,4353,4392,39,1.8, -   , -   , -   , -   
Bunda Proper,Lilongwe,Lilongwe,Grid,Prepaid,600,258,438,552,144,7655,7679,24,6, -   , -   , -   , -   
Nathenje,Lilongwe,Lilongwe,Grid,Prepaid,600,600,50,550,100,9758,9832,74,1.4, -   , -   , -   , -   
Kamphata,Lilongwe,Lilongwe,Grid,Prepaid,500,422,450,500,372,18372,18459,87,4.3, -   , -   , -   , -   
Lobi,Lilongwe,Dedza,Grid,Prepaid,600,510, -   ,450,60,16542,16632,90,0.7, -   , -   , -   , -   
Malirana,Lilongwe,Dedza,Grid,Prepaid,600,417,994,600,811,2342,3033,691,1.2, -   , -   , -   , -   
Dedza Peak,Lilongwe,Dedza,Grid,Prepaid,600,600, -   ,600, -   ,1152,1152, -   ,#DIV/0!, -   , -   , -   , -   
Area 24,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,585,15,20980,20987,7,2.1, -   , -   , -   , -   
Area 24 Market,Lilongwe,Lilongwe,Grid,Prepaid,1000,790, -   ,690,100,2957,2987,30,3.3, -   , -   , -   , -   
Mpamantha,Lilongwe,Nkhotakota,Grid,Prepaid,1000,370,500,570,300,1238,1296,58,5.2, -   , -   , -   , -   
Area 36 TC,Lilongwe,Lilongwe,Grid,Prepaid,1000,530,500,750,280,7617,7752,135,2.1, -   , -   , -   , -   
Area 38,Lilongwe,Lilongwe,Grid,Prepaid,600,560,250,600,210,7767,7828,61,3.4, -   , -   , -   , -   
Area 36 Katantha,Lilongwe,Lilongwe,Grid,Prepaid,600,480, -   ,460,20,16154,16165,11,1.8, -   , -   , -   , -   
Bunda T/O,Lilongwe,Lilongwe,Grid,Prepaid,600,500, -   ,460,40,9424,9440,16,2.5, -   , -   , -   , -   
Bus Depot,Lilongwe,Lilongwe,Grid,Prepaid,1000,500, -   ,500, -   ,1945,1945, -   ,#DIV/0!, -   , -   , -   , -   
Bwalo lanjovu,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,597,151,1046,10294,10445,151,6.9, -   , -   , -   , -   
Old Town,Lilongwe,Lilongwe,Grid,Prepaid,500,500, -   ,480,20,10244,10251,7,2.9, -   , -   , -   , -   
Kabwazi,Lilongwe,Dedza,Grid,Prepaid,600,595, -   ,570,25,14048,14058,10,2.5, -   , -   , -   , -   
Area 3 Proper,Lilongwe,Lilongwe,Grid,Prepaid,100,100, -   ,100, -   ,6998,6998, -   ,#DIV/0!, -   , -   , -   , -   
Area 3 bwaila,Lilongwe,Lilongwe,Grid,Prepaid,600,450, -   ,300,150,8528,8596,68,2.2, -   , -   , -   , -   
Area 3 Police,Lilongwe,Lilongwe,Grid,Prepaid,600,580,547,600,527,6552,6740,188,2.8, -   , -   , -   , -   
MTSILIZA,Lilongwe,Lilongwe,Grid,Prepaid,1000,270,500,590,180,5464,5536,72,2.5, -   , -   , -   , -   
Area 47 ABC,Lilongwe,Lilongwe,Grid,Prepaid,600,600,550,600,550,14011,14222,211,2.6, -   , -   , -   , -   
Area 47 Bwandilo,Lilongwe,Lilongwe,Grid,Prepaid,1000,550,500,690,360,2802,2923,121,3, -   , -   , -   , -   
Area 9,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000, -   ,920,80,10594,10626,32,2.5, -   , -   , -   , -   
Game shop/Site,Lilongwe,Lilongwe,Grid,Prepaid,200,200, -   ,200, -   ,1497,1497, -   ,#DIV/0!, -   , -   , -   , -   
Kaphatenga,Lilongwe,Lilongwe,Grid,Prepaid,1000,700,416,1000,116,9992,10002,10,11.6, -   , -   , -   , -   
Khombedza,Lilongwe,Salima,Grid,Prepaid,600,558,75,600,33,512,536,24,1.4, -   , -   , -   , -   
Kapiri,Lilongwe,Lilongwe,Grid,Prepaid,600,340,365,600,105,8490,8499,9,11.7, -   , -   , -   , -   
Sani,Lilongwe,Nkhotakota,Off Grid,Prepaid,600,600,525,600,525,12604,12802,198,2.7, -   , -   , -   , -   
Nkhota- kota,Lilongwe,Nkhotakota,Grid,Prepaid,1000,600,500,824,276,3089,3233,144,1.9, -   , -   , -   , -   
Airwing,Lilongwe,Lilongwe,Grid,Prepaid,600,540,999,530,1009,15300,15748,448,2.3, -   , -   , -   , -   
Benga,Lilongwe,Salima,Off Grid,Prepaid,600,600, -   ,528,72,17105,17147,42,1.7, -   , -   , -   , -   
Salima MTL,Lilongwe,Salima,Grid,Prepaid,600,290, -   ,290, -   ,1796,1796, -   ,#DIV/0!, -   , -   , -   , -   
Area 12 Proper,Lilongwe,Lilongwe,Grid,Prepaid,1000,20, -   ,20, -   ,371,371, -   ,#DIV/0!, -   , -   , -   , -   
Livingstonia beach,Lilongwe,Salima,Grid,Prepaid,500,485, -   ,485, -   ,17117,17117, -   ,#DIV/0!, -   , -   , -   , -   
Lifidzi,Lilongwe,Salima,Grid,Prepaid,1000,1000, -   ,1000, -   ,3257,3257, -   ,#DIV/0!, -   , -   , -   , -   
Bisai,Lilongwe,Dedza,Grid,Prepaid,1000,500,700,830,370,2224,2343,119,3.1, -   , -   , -   , -   
Ngodzi,Lilongwe,Salima,Grid,Prepaid,1000,700, -   ,700, -   ,12487,12487, -   ,#DIV/0!, -   , -   , -   , -   
Mua,Lilongwe,Dedza,Grid,Prepaid,600,600, -   ,600, -   ,21419,21419, -   ,#DIV/0!, -   , -   , -   , -   
Mtakataka,Lilongwe,Dedza,Grid,Prepaid,600,600, -   ,600, -   ,15227,15227, -   ,#DIV/0!, -   , -   , -   , -   
Chankhungu,Lilongwe,Lilongwe,Grid,Prepaid,600,450, -   ,450, -   ,16279,16279, -   ,#DIV/0!, -   , -   , -   , -   
Mvera Proper,Lilongwe,Salima,Grid,Prepaid,500,500, -   ,443,57,8205,8234,29,2, -   , -   , -   , -   
Mabulabo,Lilongwe,Mzimba,Off Grid,Prepaid,800,690,306,800,196,35580,35592,12,16.3, -   , -   , -   , -   
Nkhamenya,Lilongwe,Kasungu,Grid,Prepaid,500,500,51,500,51,4736,4756,20,2.6, -   , -   , -   , -   
Chatoloma,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,288,1000,288,889,932,43,6.7, -   , -   , -   , -   
East African Plantation,Lilongwe,Kasungu,Grid,Prepaid,225,200, -   ,200, -   ,3282,3282, -   ,#DIV/0!, -   , -   , -   , -   
Malandi Hill,Lilongwe,Dowa,Grid,Prepaid,1000,750,620,1000,370,1692,1797,105,3.5, -   , -   , -   , -   
Chayamba,Lilongwe,Kasungu,Grid,Prepaid,1000,875, -   ,800,75,59,89,30,2.5, -   , -   , -   , -   
Linyangwa,Lilongwe,Kasungu,Prime,Prepaid,1000,366,835,1000,201,2616,2748,132,1.5, -   , -   , -   , -   
Chioko,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,709,1000,459,2062,2208,146,3.1, -   , -   , -   , -   
Chamama,Lilongwe,Kasungu,Grid,Prepaid,500,500,477,500,477,16880,16895,15,31.8, -   , -   , -   , -   
