Sites Name, Region ,District,Site Status, ESCOM , Tank Size , Opening  Litres , Litres Dispensed , Closing Litres , Usage in Litres , Opening Hours , Closing Hours , Hours Run , Average Usage Per Hour , Opening Readings , Units Bought , Closing Readings , Power Usage 
 WALALA , South , Zomba , GRID , PREPAID ,1000,630, -   ,600,30,2914,2928,14,2,5825, -   , -   , -   
 NASAWA  , South , Zomba , GRID , PREPAID ,600,600, -   ,535,65,22672,22698,26,3,, -   , -   , -   
 DZAONE , South , Zomba , GRID , PREPAID ,600,1000,1082,690,1392,4437,4985,548,3,4271, -   , -   , -   
 ZOMBA ESCOM , South , Zomba , GRID , POSTPAID ,600,592, -   ,592, -   ,11511,11511, -   ,#DIV/0!,, -   , -   , -   
 THONDWE , South , Zomba , OFF GRID  ,,600,800, -   ,790,10,13676,13680,4,3,, -   , -   , -   
 ZOMBA WICO MOBILE , South , Zomba , GRID , POSTPAID ACCESS ,600,510, -   ,400,110,15779,15834,55,2,, -   , -   , -   
 CHICHIRI_SCHOOL , South , Zomba , GRID  , PREPAID  ,600,641, -   ,633,8,373,377,4,2,399, -   , -   , -   
 LIKUNGWATI , South , Zomba , GRID , PREPAID ,600,591, -   ,501,90,3167,3192,25,4,1026, -   , -   , -   
 KAMOTO , South , Chiradzulu, OFF GRID  , OFF GRID ,600,649,593,1000,242,6187,6287,100,2,, -   , -   , -   
 NAISI  , South , Zomba , GRID , PREPAID ,600,900, -   ,853,47,8018,8038,20,2,2718, -   , -   , -   
 DOMASI , South , Zomba , GRID , PREPAID ,800,450, -   ,357,93,23188,23232,44,2,5121, -   , -   , -   
 JALI , South , Zomba , GRID , POSTPAID MTL ,600,520, -   ,520, -   ,13803,13803, -   ,#DIV/0!,16328, -   , -   , -   
 PHALOMBE , South , Phalombe , GRID , POSTPAID ,600,518,108,600,26,34073,34092,19,1,, -   , -   , -   
 NOLO (NEW) , South , Phalombe , GRID , PREPAID ,600,992, -   ,992, -   ,16915,16915, -   ,#DIV/0!,1300, -   , -   , -   
 NJUMWA NEW , South , Phalombe , GRID , PREPAID MTL ,1000,662, -   ,660,2,9261,9262,1,2, -   , -   , -   , -   
 OLD NAISI NEWLINES , South , Zomba , OFF GRID , OFF GRID ,600,486, -   ,478,8,20567,20571,4,2,8855, -   , -   , -   
 CHIRINGA , South , Phalombe , OFF GRID  ,,1000,1000,1141,905,1236,1767,2324,557,2,, -   , -   , -   
 ST MARYS , South , Zomba , GRID , PREPAID ,600,600, -   ,554,46,1,23,22,2,, -   , -   , -   
 SADZI , South , Zomba , GRID , PREPAID ,600,590, -   ,590, -   ,12847,12847, -   ,#DIV/0!,811, -   , -   , -   
 CHANCO , South , Zomba , GRID , PREPAID ,600,990, -   ,984,6,3287,3289,2,3,4738, -   , -   , -   
 KACHULU , South , Zomba , GRID , PREPAID ,600,550, -   ,550, -   ,22248,22248, -   ,#DIV/0!,2274, -   , -   , -   
 NANDOLO , South , Zomba , GRID , PREPAID ,1000,600, -   ,598,2,14223,14224,1,2,3274, -   , -   , -   
 MULUNGUZI , South , Zomba , GRID , PREPAID ,800,585, -   ,583,2,14084,14085,1,2,5123, -   , -   , -   
 COBBE , South , Zomba , GRID , PREPAID ,600,600, -   ,560,40,11726,11743,17,2,, -   , -   , -   
 MPITA TRADING , South , Machinga , GRID , PREPAID ,800,414,547,490,471,17196,17356,160,3,, -   , -   , -   
 CHISUGULU - HILL , South , Phalombe , OFF GRID  , OFF GRID ,600,390,2033,760,1663,6427,6723,296,6,, -   , -   , -   
 MKAMWA , South , Zomba , OFF GRID  , OFF GRID ,600,342,381,420,303,18932,19016,84,4,, -   , -   , -   
 ZOMBA DAM , South , Zomba , GRID , PREPAID ,600,522,396,591,327,9237,9249,12,27,9139, -   , -   , -   
 ZOMBA CENTRAL , South , Zomba , GRID , PREPAID ,600,1000, -   ,978,22,3086,3091,5,4,2464, -   , -   , -   
 MCHEMA , South , Zomba , OFF GRID  , OFF GRID ,600,710,728,930,508,4693,4786,93,5,, -   , -   , -   
 AT Nasawa (Former JALI HILL) , South , Zomba , GRID , PREPAID ,600,, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
 CHISUGULU NEW DG , South , Zomba , OFF GRID ,,600,480, -   ,480,480,6904,6904, -   ,#DIV/0!,, -   , -   , -   
 Mphyuphyu , South , Zomba , OFF GRID  ,,600,622,958,901,901,10721,10969,248,4,, -   , -   , -   
 Mikongoni Hill , South , Phalombe , OFF GRID ,,600,905, -   ,750,750,5568,5630,62,12,, -   , -   , -   
 Thom Allan , South , Zomba , OFF GRID ,,600,807,469,905,905,8379,8579,200,5,, -   , -   , -   
 ZA CENTRAL Ex Likungwati , South , Zomba , GRID , PREPAID ,600,600, -   ,600,600,9186,9186, -   ,#DIV/0!,, -   , -   , -   
 Mposa , South , Machinga , OFF GRID ,,1000,836, -   ,700,700,9505,9635,130,5,, -   , -   , -   
 Nayuchi , South , Machinga , GRID , PREPAID ,1000,700, -   ,650,650,28943,28970,27,24,1983, -   , -   , -   
 Nselema , South , Machinga , GRID , PREPAID ,800,420, -   ,366,366,11889,11917,28,13,3714, -   , -   , -   
 Chikweo , South , Machinga , GRID , PREPAID ,600,670, -   ,582,582,3137,3177,40,15,2096, -   , -   , -   
 Mwima , South , Machinga , GRID , postpaid ,800,421,1143,160,160,18443,19085,642,0,, -   , -   , -   
 Ulongwe , South , Machinga , GRID , postpaid ,800,580, -   ,350,350,15379,15379, -   ,#DIV/0!, x , -   , -   , -   
 Ntaja , South , Machinga , GRID , postpaid ,1000,300,340,560,560,16656,16686,30,19, -   , -   , -   , -   
 Nsanama , South , Machinga , GRID , PREPAID ,600,343, -   ,268,268,11904,11934,30,9,3689, -   , -   , -   
 Mvuu camp , South , Machinga , OFF GRID  ,,600,1347, -   ,1206,1206,3216,3277,61,20,, -   , -   , -   
 Namanja , South , Machinga , GRID , PREPAID ,600,500,534,500,500,24776,24998,222,2,2005, -   , -   , -   
 Liwonde Road Block , South , Machinga , GRID , PREPAID ,600,490, -   ,490,490,3543,3543, -   ,#DIV/0!,1568, -   , -   , -   
 Liwonde Residential , South , Machinga , GRID , PREPAID ,1000,515, -   ,370,370,11726,11784,58,6,2376, -   , -   , -   
 Liwonde MTL , South , Machinga , GRID , postpaid ,800,588, -   ,420,420,2850,2900,50,8,, -   , -   , -   
 Namanolo , South , Machinga , GRID , PREPAID ,600,500, -   ,320,320,6954,7557,603,1,2550, -   , -   , -   
 Ulongwe DG 2 , South , Machinga , GRID , POSTPAID  ,600,827, -   ,780,780,7929,7949,20,39,, -   , -   , -   
 Mkwepere , South , Machinga , OFF GRID ,,1000,466,679,718,718,6043,6298,255,3,, -   , -   , -   
 MOBILE DG ZOMBA , South , Zomba , OFF GRID , AT CHAPOLA ,1000,265, -   ,265,265,805,805, -   ,#DIV/0!,, -   , -   , -   
 Lizulu , South , Ntcheu , OFF GRID , OFF GRID ,600,230,919,600,600,28924,29267,343,2,, -   , -   , -   
 Phombeya Fiber Repeater , South , Balaka , GRID , OFF GRID ,1000,810, -   ,746,746,3794,3823,29,26,, -   , -   , -   
 Mota 3.2 , South , Balaka , OFF GRID , OFF GRID ,600,800, -   ,517,517,1017,1080,63,8,, -   , -   , -   
 Kandeu , South , Balaka , GRID , PREPAID ,600,650, -   ,642,642,25183,25186,3,214,, -   , -   , -   
 Balaka  BSC , South , Balaka , GRID , PREPAID ,1000,596, -   ,596,596,1484,1484, -   ,#DIV/0!,455, -   , -   , -   
 Tsangano Proper , South , Ntcheu , GRID , PREPAID ,1000,1000, -   ,1000,1000,2450,2450, -   ,#DIV/0!,2197, -   , -   , -   
 Neno , South , neno , GRID , POSTPAID ,500,480, -   ,467,467,2764,2769,5,93,5529, -   , -   , -   
 Phalula , South , Balaka , GRID , POSTPAID ,1000,783,655,745,745,13624,13954,330,2,, -   , -   , -   
 Senzani , South , Balaka , GRID , POSTPAID ,1000,550, -   ,497,497,17127,17151,24,21,6763, -   , -   , -   
 Andiamo , South , Balaka , GRID , PREPAID ,1000,530, -   ,482,482,17181,17197,16,30,, -   , -   , -   
 Nachitheme , South , Balaka , GRID , POSTPAID ,1000,950, -   ,937,937,6727,6732,5,187,, -   , -   , -   
 Manjawira , South , Balaka , GRID , PREPAID ,600,437, -   ,413,413,13219,13229,10,41,, -   , -   , -   
 Ntcheu Peak , South , Ntcheu , GRID , POSTPAID ,600,557, -   ,490,490,7745,7777,32,15,, -   , -   , -   
 New Balaka BSC , South , Balaka , GRID , BACK UP DG ,600,600, -   ,555,555,3274,3281,7,79,, -   , -   , -   
 Chembera , South , Balaka , GRID , POSTPAID ,600,563, -   ,548,548,18644,18651,7,78,, -   , -   , -   
 Nkaya , South , Balaka , OFF GRID  ,,600,850, -   ,850,850,7803,7803, -   ,#DIV/0!,, -   , -   , -   
 Balaka Macra , South , Balaka , GRID , PREPAID ,600,489, -   ,480,480,9531,9536,5,96,, -   , -   , -   
 Balaka Majiga , South , Balaka , GRID , PREPAID ,600,400,177,550,550,13000,13011,11,50,, -   , -   , -   
 Khwisa , South , Balaka , GRID , PREPAID ,600,655, -   ,628,628,3635,3646,11,57,3538, -   , -   , -   
 Mphombeya BTS , South , Balaka , GRID  , PREPAID ,600,590, -   ,538,538,5516,5542,26,21,, -   , -   , -   
 Ntcheu MTL , South , Ntcheu , GRID , PREPAID AIRTEL ,600,882, -   ,875,875,2406,2410,4,219,, -   , -   , -   
 UTALE , South , Balaka , OFFGRID , OFFGRID ,600,606, -   ,606,606,28728,28728, -   ,#DIV/0!,, -   , -   , -   
 BLK Shop , South , Balaka , GRID ,,600,, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
  MAWIRA new DG , South , Machinga , OFF GRID ,,800,410, -   ,335,335,10599,10629,30,11,, -   , -   , -   
 MANGOCHI ACL , South , Mangochi , GRID , ACCESS ,1000,403,497,590,590,3757,3861,104,6, access , -   , -   , -   
 MANGOCHI NORTH , South , mangochi , GRID , PREPAID ,600,284, -   ,161,161,12769,12818,49,3,1638, -   , -   , -   
 MANGOCHI AIRPORT , South , Mangochi , GRID , PREPAID ,600,392, -   ,374,374,5970,5979,9,42,3693, -   , -   , -   
 NANSENGA , South , Mangochi , OFF GRID  , PREPAID ,600,619, -   ,582,582,33062,33078,16,36, B/O , -   , -   , -   
 PALM BEACH , South , Mangochi , GRID , PREPAID ,600,490,271,738,738,27128,27135,7,105,3827, -   , -   , -   
 NAMIYASI , South , Mangochi , GRID , PREPAID ,600,565, -   ,502,502,9506,9543,37,14,4468, -   , -   , -   
 SUN AND SAND , South , Mangochi , GRID , PREPAID ,600,685,135,735,735,7278,7312,34,22,, -   , -   , -   
 CHIKOWA , South , Mangochi , GRID , PREPAID ,1000,419, -   ,408,408,7398,7404,6,68,2652, -   , -   , -   
 CHIKOKOBAY , South , Mangochi , GRID , PREPAID ,600,576, -   ,237,237,16861,17002,141,2,2629, -   , -   , -   
 MANZINZIBAY , South , Mangochi , GRID , PREPAID ,1000,680, -   ,659,659,7128,7140,12,55,4296, -   , -   , -   
 CHIKOKO STATE , South , Mangochi , GRID , PREPAID ,300,510, -   ,469,469,9774,9791,17,28,2594, -   , -   , -   
 MONKEY BAY , South , Mangochi , GRID , POSTPAID ,600,341,305,608,608,7698,7718,20,30, mtl , -   , -   , -   
 NAMBANDE , South , Mangochi , OFF GRID , POSTPAID ,600,104,724,500,500,2125,2330,205,2,, -   , -   , -   
 NGAPANI from Mbaluku , South , Mangochi , OFF GRID , POSTPAID ,1000,883, -   ,522,522,2884,2972,88,6,, -   , -   , -   
 NAMWERA , South , Mangochi , GRID , PREPAID ,600,287,333,528,528,16668,16715,47,11,4196, -   , -   , -   
 CHIPHOLE , South , Mangochi , OFF GRID  , OFFGRID ,1000,920, -   ,773,773,7153,7207,54,14,, -   , -   , -   
 MALEKANO , South , Mangochi , OFF GRID  , PREPAID ,600,512,448,620,620,19988,20042,54,11,, -   , -   , -   
 KATULI , South , Mangochi , GRID , PREPAID ,600,302,320,538,538,10501,10543,42,13,2722, -   , -   , -   
 NANKHWALI , South , Mangochi , OFF GRID , PREPAID ,600,476, -   ,476,476,12601,12601, -   ,#DIV/0!, B/O , -   , -   , -   
 NKHUZIBAY , South , Mangochi , OFF GRID  , PREPAID ,600,285, -   ,193,193,19225,19271,46,4, B/O , -   , -   , -   
 CHING'OMBE , South , Mangochi , GRID , PREPAID ,600,600, -   ,584,584,29026,29034,8,73,2863, -   , -   , -   
 NKOPOLA , South , Mangochi , GRID , PREPAID ,600,451,149,524,524,8785,8811,26,20,1209, -   , -   , -   
 LULANGA , South , Mangochi , OFF GRID  , OFFGRID ,1000,730, -   ,474,474,14532,14596,64,7,, -   , -   , -   
 Nambande Backup Dg , South , Mangochi , OFF GRID  , OFFGRID ,600,534, -   ,534,534,9380,9380, -   ,#DIV/0!,, -   , -   , -   
 Mulibwanji  , South , Mangochi , OFF GRID  , OFFGRID ,1000,, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
 MOBILE DG MH , South , Mangochi , OFF GRID  , AT NKHUDZIBAY ,600,300, -   ,300,300,15,15, -   ,#DIV/0!,, -   , -   , -   
 MH MTL , South , Mangochi , GRID  ,,1000,993, -   ,765,765,9427,9498,71,11,, -   , -   , -   
 LUGOLA , South , Mangochi , OFF GRID  ,,1000,1071, -   ,455,455,8287,8595,308,1,, -   , -   , -   
 MH KARONGA , South , Mangochi , OFF GRID  ,,1000,860, -   ,703,703,16403,16474,71,10,, -   , -   , -   
 LUNGWENA  , South , Mangochi , OFF GRID  ,,600,577,873,865,865,6859,7054,195,4,, -   , -   , -   
 Mbaluku , South , Mangochi , GRID ,,600,100, -   ,74,74,806,819,13,6,, -   , -   , -   
 Makunganya , South , Mangochi , OFF GRID  ,,600,372,1000,1000,1000,8893,9248,355,3,, -   , -   , -   
 Chembe  , South , Mangochi , OFF GRID  ,,600,243, -   ,215,215,27170,27184,14,15,, -   , -   , -   
 Majiga 1 , South , Balaka , OFF GRID  ,,600,600,906,1000,1000,2611,2794,183,5,, -   , -   , -   
 Dziwe , South , Balaka , OFF GRID  ,,1000,770,552,800,800,2171,2286,115,7,, -   , -   , -   
 Chapola , South , Balaka , OFF GRID ,,600,412,642,620,620,2099,2253,154,4,, -   , -   , -   
 St Therese/Liwonde Hospital , South , Machinga , OFF GRID  ,,1000,1000, -   ,440,440,2866,3050,184,2,, -   , -   , -   
 Dzunje , South , Zomba , OFF GRID  ,,600,619,920,1043,1043,2760,2895,135,8,, -   , -   , -   
 MPOTOLA , South , Machinga , OFF GRID  ,,600,344,375,550,550,14632,14706,74,7,, -   , -   , -   
 Dzenje , South , Zomba , OFF GRID  ,,1000,710, -   ,570,570,1300,1342,42,14,, -   , -   , -   
 chingondo , South , Zomba , OFF GRID  ,,600,600, -   ,600,600,19810,19810, -   ,#DIV/0!,, -   , -   , -   
 Namasalima , South , Zomba , OFF GRID  ,,600,600, -   ,600,600,318,318, -   ,#DIV/0!,, -   , -   , -   
 Ulumba , South , Zomba , OFF GRID  ,,600,510, -   ,325,325,202,310,108,3,, -   , -   , -   
 Skinner(former Chanco) , South , Zomba , OFF GRID  ,,600,490, -   ,490,490,13842,13842, -   ,#DIV/0!,, -   , -   , -   
 KOKOLO , South , Zomba , OFF GRID  ,,1000,630,820,1000,1000,3015,3200,185,5,, -   , -   , -   
 MBANIRA , South , Machinga , OFF GRID  ,,600,560, -   ,400,400,6030,6096,66,6,, -   , -   , -   
 NANYUMBU , South , Machinga , OFF GRID ,,,, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
 KAWINGA , South , Machinga , OFF GRID  ,,1000,600,907,770,770,4809,5200,391,2,, -   , -   , -   
 GOSHEN CITY , South , Mangochi , OFF GRID  ,,1000,792,1239,1000,1000,3212,3461,249,4,, -   , -   , -   
 NTCHEU SHOP , South , Ntcheu , GRID ,,1000,, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
 MANGOCHI SHOP , South , Mangochi , OFF GRID  ,,1000,, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
 LIKUNGWATI OLD DG , South , Zomba , GRID , PREPAID  ,1000,, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
 KATEMA , South , Mangochi , OFF GRID  ,,1000,139,561,514,514,19857,19896,39,13,, -   , -   , -   
 NKOPOLA BACKUP DG , South , Mangochi , OFF GRID  ,,1000,520, -   ,520,520,28622,28622, -   ,#DIV/0!,, -   , -   , -   
